Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,region,address,aux addres,latitude,longitude,type,power,service,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Car,Style,Transmission,VehicleType,PriceRange(Lakhs),Capacity,BootSpace,BaseModel,TopModel
,,,,,,,,,,,NDMC,"Akashvani Bhawan, Sansad Marg, New Delhi 110001","Electric Vehicle Charger, Akashvani Bhawan, Sansad Marg, New Delhi 110001",28.6245157,77.2135555,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"FICCI, FICCI Chowk, Mandi House, New Delhi","Electric Vehicle Charger, FICCI, FICCI Chowk, Mandi House, New Delhi",28.6268691,77.231853,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001","Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001",28.6304482,77.2255578,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001","Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001",28.6304482,77.2255578,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Talkatora Stadium, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Stadium, President's Estate, New Delhi110004",28.6252943,77.1952344,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Talkatora Garden, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Garden, President's Estate, New Delhi110004",28.6248358,77.1952435,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SDMC,"c/o SDMCHauz Khas VillageNew Delhi,Delhi - 110016","Electric Vehicle Charger, c/o SDMCHauz Khas VillageNew Delhi,Delhi - 110016",28.5471702,77.2002745,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SDMC,PVR Priya Vasant  Vihar,"Electric Vehicle Charger, PVR Priya Vasant  Vihar",28.4974825,77.0829777,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SDMC,"Meharchand Market, New Delhi","Electric Vehicle Charger, Meharchand Market, New Delhi",28.5881111,77.2175556,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SDMC,"Meharchand Market, New Delhi","Electric Vehicle Charger, Meharchand Market, New Delhi",28.5881111,77.2175556,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SDMC,RK Puram Sector 12 Market,"Electric Vehicle Charger, RK Puram Sector 12 Market",28.5743032,77.1765548,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SDMC,RK Puram Sector 12 Market,"Electric Vehicle Charger, RK Puram Sector 12 Market",28.5743032,77.1765548,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,CMRL,Saidapet Metro station,"Electric Vehicle Charger, Saidapet Metro station",13.0237197,80.2282092,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,CMRL,Saidapet Metro station,"Electric Vehicle Charger, Saidapet Metro station",13.0237197,80.2282092,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,CMRL,"Tirumangalam Metro station, Chennai","Electric Vehicle Charger, Tirumangalam Metro station, Chennai",12.9918445,80.1418013,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,CMRL,Saidapet Metro station,"Electric Vehicle Charger, Saidapet Metro station",13.0237197,80.2282092,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"DLF Building, Sansad Marg, Janpath, Connaught Place, New Delhi 110001.","Electric Vehicle Charger, DLF Building, Sansad Marg, Janpath, Connaught Place, New Delhi 110001.",28.6212385,77.2183048,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NDMC,"Talkatora Stadium, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Stadium, President's Estate, New Delhi110004",28.6252943,77.1952344,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NKDA,"ECO Park,Gate No1,West Bengal:700156","Electric Vehicle Charger, ECO Park,Gate No1,West Bengal:700156",22.5833562,88.4593418,AC-001,10(3.3 kW each),Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NKDA,"Shapoorji complex,New Town,kolkata,West Bengal:700135","Electric Vehicle Charger, Shapoorji complex,New Town,kolkata,West Bengal:700135",22.5691795,88.5090643,AC-001,10(3.3 kW each),Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NKDA,"ECO Park,Gate No1,West Bengal:700156","Electric Vehicle Charger, ECO Park,Gate No1,West Bengal:700156",22.5833562,88.4593418,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,NKDA,"Shapoorji complex,New Town,kolkata,West Bengal:700135","Electric Vehicle Charger, Shapoorji complex,New Town,kolkata,West Bengal:700135",22.5691795,88.5090643,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ANERT,"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014","Electric Vehicle Charger, State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",8.491622,76.9562469,CCS/ChADEMO/ Type 2 AC,142kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ANERT,"Shanghumukham beach, thiruvananthapuram,Kerala- 605007","Electric Vehicle Charger, Shanghumukham beach, thiruvananthapuram,Kerala- 605007",8.4810515,76.9126218,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ANERT,"KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031","Electric Vehicle Charger, KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031",9.9769209,76.2777812,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ANERT,"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014","Electric Vehicle Charger, State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",8.491622,76.9562469,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SDMC,"EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7","Electric Vehicle Charger, EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7",28.5576621,77.1576843,DC-001,15 kW,Self Service,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Tesla ,Model 3 Long Range Dual Motor,4.6,233.0,450.0,161.0,940,Yes,AWD,Type 2 CCS,Sedan,D,5.0,55480.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Volkswagen ,ID.3 Pure,10.0,160.0,270.0,167.0,250,Yes,RWD,Type 2 CCS,Hatchback,C,5.0,30000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Polestar ,2,4.7,210.0,400.0,181.0,620,Yes,AWD,Type 2 CCS,Liftback,D,5.0,56440.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BMW ,iX3 ,6.8,180.0,360.0,206.0,560,Yes,RWD,Type 2 CCS,SUV,D,5.0,68040.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Honda ,e ,9.5,145.0,170.0,168.0,190,Yes,RWD,Type 2 CCS,Hatchback,B,4.0,32997.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Lucid ,Air ,2.8,250.0,610.0,180.0,620,Yes,AWD,Type 2 CCS,Sedan,F,5.0,105000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Volkswagen ,e-Golf ,9.6,150.0,190.0,168.0,220,Yes,FWD,Type 2 CCS,Hatchback,C,5.0,31900.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Peugeot ,e-208 ,8.1,150.0,275.0,164.0,420,Yes,FWD,Type 2 CCS,Hatchback,B,5.0,29682.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Tesla ,Model 3 Standard Range Plus,5.6,225.0,310.0,153.0,650,Yes,RWD,Type 2 CCS,Sedan,D,5.0,46380.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Audi ,Q4 e-tron ,6.3,180.0,400.0,193.0,540,Yes,AWD,Type 2 CCS,SUV,D,5.0,55000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Mercedes ,EQC 400 4MATIC,5.1,180.0,370.0,216.0,440,Yes,AWD,Type 2 CCS,SUV,D,5.0,69484.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Nissan ,Leaf ,7.9,144.0,220.0,164.0,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5.0,29234.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Hyundai ,Kona Electric 64 kWh,7.9,167.0,400.0,160.0,380,Yes,FWD,Type 2 CCS,SUV,B,5.0,40795.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BMW ,i4 ,4.0,200.0,450.0,178.0,650,Yes,RWD,Type 2 CCS,Sedan,D,5.0,65000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Hyundai ,IONIQ Electric,9.7,165.0,250.0,153.0,210,Yes,FWD,Type 2 CCS,Liftback,C,5.0,34459.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Volkswagen ,ID.3 Pro S,7.9,160.0,440.0,175.0,590,Yes,RWD,Type 2 CCS,Hatchback,C,4.0,40936.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Porsche ,Taycan Turbo S,2.8,260.0,375.0,223.0,780,Yes,AWD,Type 2 CCS,Sedan,F,4.0,180781.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Volkswagen ,e-Up! ,11.9,130.0,195.0,166.0,170,Yes,FWD,Type 2 CCS,Hatchback,A,4.0,21421.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MG ,ZS EV,8.2,140.0,220.0,193.0,260,Yes,FWD,Type 2 CCS,SUV,B,5.0,30000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Mini ,Cooper SE ,7.3,150.0,185.0,156.0,260,Yes,FWD,Type 2 CCS,Hatchback,B,4.0,31681.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Opel ,Corsa-e ,8.1,150.0,275.0,164.0,420,Yes,FWD,Type 2 CCS,Hatchback,B,5.0,29146.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Tesla ,Model Y Long Range Dual Motor,5.1,217.0,425.0,171.0,930,Yes,AWD,Type 2 CCS,SUV,D,7.0,58620.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Skoda ,Enyaq iV 50,10.0,160.0,290.0,179.0,230,Yes,RWD,Type 2 CCS,SUV,C,5.0,35000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Audi ,e-tron GT ,3.5,240.0,425.0,197.0,850,Yes,AWD,Type 2 CCS,Sedan,F,4.0,125000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Tesla ,Model 3 Long Range Performance,3.4,261.0,435.0,167.0,910,Yes,AWD,Type 2 CCS,Sedan,D,5.0,61480.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Volkswagen ,ID.4 ,7.5,160.0,420.0,183.0,560,Yes,RWD,Type 2 CCS,SUV,C,5.0,45000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Volkswagen ,ID.3 Pro,9.0,160.0,350.0,166.0,490,Yes,RWD,Type 2 CCS,Hatchback,C,5.0,33000.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Volvo ,XC40 P8 AWD Recharge,4.9,180.0,375.0,200.0,470,Yes,AWD,Type 2 CCS,SUV,C,5.0,60437.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BMW ,i3 120 Ah,7.3,150.0,235.0,161.0,270,Yes,RWD,Type 2 CCS,Hatchback,B,4.0,38017.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Peugeot ,e-2008 SUV ,8.5,150.0,250.0,180.0,380,Yes,FWD,Type 2 CCS,SUV,B,5.0,34361.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Audi ,e-tron 50 quattro,6.8,190.0,280.0,231.0,450,Yes,AWD,Type 2 CCS,SUV,E,5.0,67358.0,,,,,,,,,
